Sales Domain.[Ship To],Item.[Item],Time.[Partial Week],Estimated Price Modify_Local,Estimated Price_Local
5000002,RF29BB8600QLAA,202529A,100.0,999.0
5000002,RF29BB8600QLAA,202530A,100.0,999.0
5000002,RF29BB8600QLAA,202531A,100.0,999.0
5000002,RF29BB8600QLAA,202531B,100.0,999.0
5000002,RF29BB8600QLAA,202532A,100.0,999.0
5000002,RF29BB8600QLAA,202533A,100.0,999.0
5000002,RF29BB8600QLAA,202534A,100.0,999.0
5000002,RF29BB8600QLAA,202535A,100.0,999.0
5000002,RF29BB8600QLAA,202536A,100.0,999.0
5000002,RF29BB8600QLAA,202537A,100.0,999.0
5000002,RF29BB8600QLAA,202538A,100.0,999.0
5000002,RF29BB8600QLAA,202539A,100.0,999.0
5000002,RF29BB8600QLAA,202540A,100.0,999.0
5000002,RF29BB8600QLAA,202540B,100.0,999.0
5000002,RF29BB8600QLAA,202541A,100.0,999.0
5000002,RF29BB8600QLAA,202542A,100.0,999.0
5000002,RF29BB8600QLAA,202543A,100.0,999.0
5000002,RF29BB8600QLAA,202544A,100.0,999.0
5000002,RF29BB8600QLAA,202544B,100.0,999.0
5000002,RF29BB8600QLAA,202545A,100.0,999.0
5000002,RF29BB8600QLAA,202546A,100.0,999.0
5000002,RF29BB8600QLAA,202547A,100.0,999.0
5000002,RF29BB8600QLAA,202548A,100.0,999.0
5000002,RF29BB8600QLAA,202549A,100.0,999.0
5000002,RF29BB8600QLAA,202550A,100.0,999.0
5000002,RF29BB8600QLAA,202551A,100.0,999.0
5000002,RF29BB8600QLAA,202552A,100.0,999.0
5000002,RF29BB8600QLAA,202601A,100.0,999.0
5000002,RF29BB8600QLAA,202601B,100.0,999.0
5000002,RF29BB8600QLAA,202602A,100.0,999.0
5000002,RF29BB8600QLAA,202603A,100.0,999.0
5000002,RF29BB8600QLAA,202604A,100.0,999.0
5000002,RF29BB8600QLAA,202605A,100.0,999.0
5000002,RF29BB8600QLAA,202605B,100.0,999.0
5000002,RF29BB8600QLAA,202606A,100.0,999.0
5000002,RF29BB8600QLAA,202607A,100.0,999.0
5000002,RF29BB8600QLAA,202608A,100.0,999.0
5000002,RF29BB8600QLAA,202609A,100.0,999.0
5000002,RF29BB8600QLAA,202609B,100.0,999.0
5000002,RF29BB8600QLAA,202610A,100.0,999.0
5000002,RF29BB8600QLAA,202611A,100.0,999.0
5000002,RF29BB8600QLAA,202612A,100.0,999.0
5000002,RF29BB8600QLAA,202613A,100.0,999.0
5000002,RF29BB8600QLAA,202614A,100.0,999.0
5000002,RF29BB8600QLAA,202614B,100.0,999.0
5000002,RF29BB8600QLAA,202615A,100.0,999.0
5000002,RF29BB8600QLAA,202616A,100.0,999.0
5000002,RF29BB8600QLAA,202617A,100.0,999.0
5000002,RF29BB8600QLAA,202618A,100.0,999.0
5000002,RF29BB8600QLAA,202618B,100.0,999.0
5000002,RF29BB8600QLAA,202619A,100.0,999.0
5000002,RF29BB8600QLAA,202620A,100.0,999.0
5000002,RF29BB8600QLAA,202621A,100.0,999.0
5000002,RF29BB8600QLAA,202622A,100.0,999.0
5000003,RF29BB8600QLAA,202522A,,100.0
5000003,RF29BB8600QLAA,202522B,,100.0
5000003,RF29BB8600QLAA,202523A,,100.0
5000003,RF29BB8600QLAA,202524A,,100.0
5000003,RF29BB8600QLAA,202525A,,100.0
5000003,RF29BB8600QLAA,202526A,,100.0
5000003,RF29BB8600QLAA,202527A,,100.0
5000003,RF29BB8600QLAA,202527B,,100.0
5000003,RF29BB8600QLAA,202528A,,100.0
5000003,RF29BB8600QLAA,202529A,,100.0
5000003,RF29BB8600QLAA,202530A,,100.0
5000003,RF29BB8600QLAA,202531A,,100.0
5000003,RF29BB8600QLAA,202531B,,100.0
5000003,RF29BB8600QLAA,202532A,,100.0
5000003,RF29BB8600QLAA,202533A,,100.0
5000003,RF29BB8600QLAA,202534A,,100.0
5000003,RF29BB8600QLAA,202535A,,100.0
5000003,RF29BB8600QLAA,202536A,,100.0
5000003,RF29BB8600QLAA,202537A,,100.0
5000003,RF29BB8600QLAA,202538A,,100.0
5000003,RF29BB8600QLAA,202539A,,100.0
5000003,RF29BB8600QLAA,202540A,,100.0
5000003,RF29BB8600QLAA,202540B,,100.0
5000003,RF29BB8600QLAA,202541A,,100.0
5000003,RF29BB8600QLAA,202542A,,100.0
5000003,RF29BB8600QLAA,202543A,,100.0
5000003,RF29BB8600QLAA,202544A,,100.0
5000003,RF29BB8600QLAA,202544B,,100.0
5000003,RF29BB8600QLAA,202545A,,100.0
5000003,RF29BB8600QLAA,202546A,,100.0
5000003,RF29BB8600QLAA,202547A,,100.0
5000003,RF29BB8600QLAA,202548A,,100.0
5000003,RF29BB8600QLAA,202549A,,100.0
5000003,RF29BB8600QLAA,202550A,,100.0
5000003,RF29BB8600QLAA,202551A,,100.0
5000003,RF29BB8600QLAA,202552A,,100.0
5000003,RF29BB8600QLAA,202601A,,100.0
5000003,RF29BB8600QLAA,202601B,,100.0
5000003,RF29BB8600QLAA,202602A,,100.0
5000003,RF29BB8600QLAA,202603A,,100.0
5000003,RF29BB8600QLAA,202604A,,100.0
5000003,RF29BB8600QLAA,202605A,,100.0
5000003,RF29BB8600QLAA,202605B,,100.0
5000003,RF29BB8600QLAA,202606A,,100.0
5000003,RF29BB8600QLAA,202607A,,100.0
5000003,RF29BB8600QLAA,202608A,,100.0
5000003,RF29BB8600QLAA,202609A,,100.0
5000003,RF29BB8600QLAA,202609B,,100.0
5000003,RF29BB8600QLAA,202610A,,100.0
5000003,RF29BB8600QLAA,202611A,,100.0
5000003,RF29BB8600QLAA,202612A,,100.0
5000003,RF29BB8600QLAA,202613A,,100.0
5000003,RF29BB8600QLAA,202614A,,100.0
5000003,RF29BB8600QLAA,202614B,,100.0
5000003,RF29BB8600QLAA,202615A,,100.0
5000003,RF29BB8600QLAA,202616A,,100.0
5000003,RF29BB8600QLAA,202617A,,100.0
5000003,RF29BB8600QLAA,202618A,,100.0
5000003,RF29BB8600QLAA,202618B,,100.0
5000003,RF29BB8600QLAA,202619A,,100.0
5000003,RF29BB8600QLAA,202620A,,100.0
5000003,RF29BB8600QLAA,202621A,,100.0
5000003,RF29BB8600QLAA,202622A,,100.0
